phrase	category
Mom, can I have some more calcium? NEW Minute Maid Premium Orange Tangerine with Calcium. Tastes like biting into a fresh ripe orange with a sweet splash of tangerine. Bite into it.	advertisement
Have you heard the best kept Disney secret? Disney Vacation Club offers you an affordable way to visit your Disney friends during the Happiest Celebration On Earth - and for many years to come! Plus, you'll enjoy a choice of over 450 other vacation destinations around the world. Discover the best kept Disney Secret now, and see why our members are some of the happiest folks on earth. Order your free DVD today, call 1-800-453-4912	advertisement
Upon hearing about the podcast, Patrick sent Meghan a heartfelt text message, expressing his excitement for their relationship and how they can be of assistance in any way possible.	gossip
Prevailing high pressure. Day with stable atmospheric conditions, sky at times very cloudy or locally even overcast.	weather
Former detective warns of lethal consequences as 'street takeovers' terrorize towns across the US .	crime
In a secret ballot, theories vary, but cock-up attracts more credibility than conspiracy among the various campaigns.	politics
See, soar, play, explore... At Disney, where learning is powered by imagination.	advertisement
Surround yourself in softness. New Huggies have an outer cover that's so very soft. Now, Huggies UltraTrim diapers have a softer way to help stop leaks: a cloth-like outer cover. New Huggies are so huggably gentle and soft to the touch, they're sure to change the way you feel about diapers. HUGGIES ULTRASOFT, Soft Quilted Cover!	advertisement
The elimination of James Cleverly was a shock that nearly all individuals were stunned by.	politics
Four first-degree attempted murder charges were brought against Sloan, who is now 19, by Maricopa County authorities.	crime
During the day it was broadly unsettled with storm Kathleen drifting away from the UK, affecting northern areas	weather
Others say the other two campaigns were simply more effective and more persuasive when it really counted.	politics
Temperatures will initially be above average in many areas, but potentially trending towards colder than average later in the month.	weather
Sometimes it's easy to tell, other times the problems are hidden. You feel fine one day and the next, severe fatigue, chest pain, poor coloring. Signs your heart is in trouble. But coronary artery disease doesn't have to be a surprise. John Hopkins has the most advanced technologies and world reknowed physicians to diagnose any heart problem.	advertisement
Delta Air Lines says its earnings are on the climb.	finance
The UK experienced scattered and heavy showers today, with thunderstorms occurring in the midlands, central and southeast England, and Scotland.	weather
Pull the trigger on savings. Only Progressive has the Name Your Price tool. Give us a budget, and we'll show you a range of options so you can find something that works for you and your budget. Coverage you can count on at a great price. Now that's Progressive.	advertisement
At Disney, the power of imagination is evident in learning through seeing, riding, jumping, playing, and exploring.	advertisement
Attend the Fast Company Fast Talk newsletter for exclusive insights from industry figures.	advertisement
Get a free DVD today by calling 1-800-453-4912 to learn about the best Disney secret. The Disney Vacation Club is an affordable option that allows you to visit your Disney friends during the Happiest Celebration On Earth for years to come.	advertisement
The weather changed throughout the country at night. An obstruction descending towards the UK from the south east has resulted in heavy rainfall.	weather
With their soft quilted outer cover, Huggies UltraTrim diapers are a great choice for those wanting to change their diaper's perception.	advertisement
Join Walk America and support the March Of Dimes in their research to help prevent premature birth as the leading killer of newborns. For more information, call your local March Of Dimes chapter or visit WalkAmerica.org	advertisement
She has won 11m krona (£810,000) which is the amount awarded to each Nobel Prize winner this year.	culture
