phrase	category
There's an audible clicking when turning the ignition key but the starter doesn't engage. The solenoid tests positive for failure and the starter wiring shows signs of heat damage.	Electrical/Electronic Failures
Fuel leaks from the bottom of the carburetor and creates a fire hazard. The float bowl gasket is hardened and cracked from age and heat cycling.	Fuel System Problems
The car's horn and radio activate automatically. Water damage has affected the BCM, which is not functioning properly.	Electrical/Electronic Failures
The ignition coil has visible cracks and the engine has a rough idle. Starting requires multiple attempts and there's a noticeable delay between turning the key and engine firing.	Ignition System Malfunctions
Fuses blow frequently, particularly those related to the lighting system. The wiring harness shows signs of rodent damage with multiple exposed wires.	Electrical/Electronic Failures
When reversing, there's a noticeable clunk and metal pieces start to appear in the transmission when depleted. The torque converter experiences tremors at certain speeds.	Transmission Problems
The engine experiences knocking noises under load. The knock sensor is not causing any delay in the ignition timing to prevent detonation.	Ignition System Malfunctions
When stopping from highway speeds, there is a noticeable pulsation in the brake pedal. The front brake rotors are warped.	Brake System Defects
The 'check engine' light is on and the transmission is stuck in 3rd gear (limp mode). A transmission pressure control solenoid has failed.	Transmission Problems
After driving, a strong burning smell comes from one of the wheels. The brake hose for that wheel has collapsed internally, trapping pressure and keeping the brake applied.	Brake System Defects
The car's grip on the parking brake handle is unyielding, and it does not hold. The cable that connects the garage to the rear parking braking system has also broken.	Brake System Defects
There's a noticeable hesitation when depressing the accelerator pedal. The throttle body is made of carbon film, which hinders air movement.	Fuel System Problems
Coolant erupts from the overflow tank after the engine is shut down. The head gasket is allowing combustion gases to enter the cooling system, creating excessive pressure.	Cooling System Anomalies
The engine temperature gauge goes into the red zone when the vehicle is idling in traffic. The electric radiator fan relay has failed, causing the fan to fail.	Cooling System Anomalies
The application of the brakes produces a grinding noise and sensitivity to the pedal. The brake pads are worn out, and the caliper piston is broken.	Brake System Defects
The fuel level sensor provides inaccurate readings. The gauge shows empty when the tank is a quarter full and the warning light remains on continuously.	Fuel System Problems
The parking brake fails to hold the vehicle on modest inclines. The cables are stretched and the rear brake shoe adjusters are seized from corrosion.	Brake System Defects
The car emits a loud squealing noise while braking. The brake pads are worn down and the rotors have become heat-colored.	Brake System Defects
Despite cranking, the engine remains inactive and the ignition coil has malfunctioned internally, leaving no indication of ignition.	Ignition System Malfunctions
The engine's misfiring on cylinder 3 is unredued due to oil getting mixed with fuel and the ignition coil experiencing heat stress.	Ignition System Malfunctions
The car is difficult to start in the morning and has a rough idle. The distributor cap has a hairline crack, allowing moisture to enter.	Ignition System Malfunctions
The vehicle hesitates when accelerating from a stop and the check engine light flashes during this hesitation. The fuel pressure regulator is leaking when examined.	Fuel System Problems
A whining noise that alters the pitch of the engine with speed, and gear engagement is intense. The transmission fluid filter is obstructed.	Transmission Problems
The engine sways and hesitates, particularly in wet conditions. The ignition control module is not functioning when it warms up.	Ignition System Malfunctions
The front brake rotors are warped, and the brake pedal feels like it's been pulsing at highway speeds.	Brake System Defects
While accelerating, the engine suddenly loses power and backfires. The ignition timing was found to be severely retarded.	Ignition System Malfunctions
Misfires occur in the engine while running under load. The fuel rail pressure sensor is not functioning properly, resulting in irregular fuel delivery to the injectors.	Fuel System Problems
When making tight turns at low speeds, the brakes seem to grab unexpectedly. The ABS module has corrosion on its connectors and the wheel speed sensors are contaminated.	Brake System Defects
The engine idles poorly and stalls intermittently. One of the fuel injectors is stuck open, flooding a cylinder with fuel.	Fuel System Problems
The pedal goes all the way to the floor before brakes engage. There's air in the brake lines and the proportioning valve is sticking when tested.	Brake System Defects
A high-pitched metallic scraping sound is heard from the rear wheels when driving. The rear brake pads are worn down to the metal backing plates.	Brake System Defects
The CV joints make a clicking noise when turning and the transmission fluid is contaminated with metal particles. The differential bearings show abnormal wear patterns.	Transmission Problems
The transmission fluid filter is clogged, and there's a whining noise that varies with engine speed and gear engagement.	Transmission Problems
There's a noticeable misfire that moves between different cylinders and the spark plug wires are arcing at night. The distributor rotor is in an unremarkable state.	Ignition System Malfunctions
The ignition coil packs exhibit intermittent voltage output, and the spark plug gaps are uneven. The timing advance is erratic at high RPM, causing misfires under acceleration.	Ignition System Malfunctions
The brake warning light becomes flickering during difficult turns. A slow leak at a rear wheel cylinder is responsible for the low brake fluid level.	Brake System Defects
The engine oil is mixed with coolant, resulting in an emulsion and allowing coolants to seep into the cylinders. The intake manifold gasket is damaged as a result.	Cooling System Anomalies
The water pump was replaced, but the engine still runs hot. The new pump has a plastic impeller that has broken off the shaft.	Cooling System Anomalies
There's a noticeable hesitation when pressing the accelerator. The throttle body is coated in carbon, restricting airflow.	Fuel System Problems
The remote key fob will not lock or unlock the doors. The receiver module in the car is not picking up the signal.	Electrical/Electronic Failures
When the car comes to a halt, it makes erratic movements and the check engine light illuminates intermittently. The fuel pressure regulator appears to be leaking when tested.	Fuel System Problems
The spark plug wires are arcing visibly at night and there's a misfire that moves between different cylinders. The distributor rotor shows excessive wear.	Ignition System Malfunctions
When the car is in motion, the lights turn off and flicker. The alternator is malfunctioning and not functioning properly.	Electrical/Electronic Failures
Delay, loud clunk, low transmission fluid, burn smell as I try to shift from Park to Drive.	Transmission Problems
The engine misfired repeatedly because the spark plug wire was melted and had pressed against the hot exhaust manifold.	Ignition System Malfunctions
The engine's performance has been impacted by the incorrect placement of spark plug wires on the distributor cap during a tune-up.	Ignition System Malfunctions
The car runs extremely high due to the presence of black sooty residue near the tailpipe. The mass airflow sensor is contaminated and giving incorrect readings.	Fuel System Problems
Coolant is mixing with the engine oil causing emulsion. The intake manifold gasket is deteriorated and allowing coolant to seep into the cylinders.	Cooling System Anomalies
The car's horn and radio turn on and off by themselves. The Body Control Module (BCM) is malfunctioning due to water damage.	Electrical/Electronic Failures
The vehicle's remote locking system functions only at very short range. The antenna wire is partially damaged and the transmitter battery is weak.	Electrical/Electronic Failures
Multiple warning lights appear on the dashboard including check engine and battery. The main computer module shows signs of water damage and the wiring harness has corroded connectors.	Electrical/Electronic Failures
Holding the brake pedal steady at a stoplight causes it to slowly slide down. The master cylinder's internal leak is an example of how fluid can bypass the seals.	Brake System Defects
Despite the engine being at full operating temperature, the cabin heater still blows cold air. The heater core is filled with sediment.	Cooling System Anomalies
No-repeated: The car does not stop when the parking brake handle pulls up, parking cable snaps.	Brake System Defects
The interior lights remain operational even when the doors are closed. The door switch plunger is stuck in the depressed position due to dirt accumulation.	Electrical/Electronic Failures
Multiple electrical components fail simultaneously and the battery requires frequent jump starts. The voltage regulator test shows inconsistent readings and the charging system is ineffective.	Electrical/Electronic Failures
Until the battery charges completely, it won't hold charge for more than a few days. The system is constantly being overcharged even when the vehicle is not in use, and the alternator belt is loose.	Electrical/Electronic Failures
The vehicle's remote locking system works only at very close range. The antenna wire is partially broken and the transmitter battery is weak.	Electrical/Electronic Failures
The radio screen exhibits random bits and the volume changes independently. Water has leaked into the head unit through the antenna connection.	Electrical/Electronic Failures
The battery is always charging in the morning. A parasitic draw was discovered due to the glove box light remaining on when closed.	Electrical/Electronic Failures
The engine RPM increases unexpectedly while operating at a constant speed, as if the transmission is out of gear.	Transmission Problems
The engine's knocking noise intensifies with an increase in engine temperature. The loose timing chain has lost several teeth, resulting in valve timing being significantly off.	Ignition System Malfunctions
The headlights appear to flicker and dim when the car is in motion. The alternator is malfunctioning and not functioning properly.	Electrical/Electronic Failures
The engine experiences a random misfire that happens intermittently on all cylinders. The ignition control module is overheating and malfunctioning under certain conditions.	Ignition System Malfunctions
All the dashboard gauges are inoperable, and warning lights are all on. The instrument cluster has become disconnected from the computer that controls the vehicle's instrument panel.	Electrical/Electronic Failures
Sharp turns cause a clicking or grinding sound, while worn-out CV joints are present on the front axle.	Transmission Problems
The radio display shows random segments and the volume changes by itself. Water has leaked into the head unit through the antenna connection.	Electrical/Electronic Failures
The car is lanky and has slow acceleration. The sensor measuring mass airflow is spotty and sending incorrect signals to the engine computer.	Fuel System Problems
The car struggles to start once it has been refueled and the check engine light indicates an EVAP system leak, which is caused by a defective vent solenoid.	Fuel System Problems
Despite cranking, the engine fails to start in wet conditions. The distributor seems watertight inside, and the spark plug wires demonstrate significant resistance when tested.	Ignition System Malfunctions
The ABS and traction control lights are activated. A diagnostic scan indicates an issue with the right front wheel speed sensor.	Brake System Defects
The vehicle experiences a sharp shiver in the rear end when shifting from 1st gear to 2nd gear. The transmission control module is malfunctioning, leading to unpredictable shift instructions.	Transmission Problems
Despite the engine being hot, the cooling fan remains inoperative. The thermostat seems to be closed and the coolant hoses are soft and worn.	Cooling System Anomalies
The battery needs frequent recharging after several electrical components fail at the same time. The voltage regulator test results in irregular readings and the charging system fails.	Electrical/Electronic Failures
The tailpipe of the car is covered in black sooty residue. The mass airflow sensor is contaminated and giving incorrect readings.	Fuel System Problems
The brake lights are still illuminated even when the pedal is not being used. The plastic stopper for the brake light switch has malfunctioned.	Brake System Defects
A grinding noise is heard when applying the brakes, and the pedal feels soft. The brake pads are completely worn, and the caliper piston is damaged.	Brake System Defects
After a tune-up, the engine runs worse than before. The spark plug wires were installed in the wrong order on the distributor cap.	Ignition System Malfunctions
Several electrical components malfunction at the same time, necessitating frequent jump starts of the battery. The voltage regulator test yields inconsistent results and the charging system fails.	Electrical/Electronic Failures
The engine temperature experiences significant fluctuations during regular operation. The thermostat is intermittently adjusting between the open and closed positions.	Cooling System Anomalies
The car experiences difficulty starting after refueling and is detected by an EVAP system leak, which could be caused by a malfunctioning vent solenoid.	Fuel System Problems
While driving at a steady speed, the engine RPM suddenly flares up without an increase in speed, as if the transmission is slipping out of gear.	Transmission Problems
Intermittent voltage is produced by the ignition coil packs, and gaps between the spark plugs are irregular; timing advance changes erratic at high RPM, misfires under acceleration.	Ignition System Malfunctions
There are noticeable cracks on the ignition coil and a slow idle idle. It takes several attempts to start and there's hardly any time between turning the key and seeing the engine start.	Ignition System Malfunctions
Turning the steering wheel takes more effort and there is a persistent whining noise. The power steering fluid reservoir is dark and dirty with low levels.	Transmission Problems
A fuse for the taillights keeps blowing as soon as it is replaced. There is a short circuit in the trailer wiring harness.	Electrical/Electronic Failures
The brake lights remain on even when the brake pedal is not being pressed. The plastic stopper for the brake light switch has broken off.	Brake System Defects
The taillights are not working and the fuse is still blowing. There is a short circuit in the trailer wiring harness that prevents this from happening.	Electrical/Electronic Failures
The parking brake is unable to keep the vehicle in place on slight gradients. The cables are stretched and the rear brake shoe adjusters are secured against corrosion.	Brake System Defects
The transmission fluid appears milky and pink. The internal radiator cooler has shattered, allowing the coolant to mix with the transmission liquid.	Transmission Problems
As the engine temperature rises, the knocking noise becomes louder. The timing chain is loose and has lost several teeth, resulting in valve timing being significantly off.	Ignition System Malfunctions
The engine experiences a subtle but consistent miss while idling. The gap between different spark plugs is worn and too wide for dependable ignition.	Ignition System Malfunctions
When reverse gear is engaged, a loud creak occurs and metal fragments are present in the transmission pan when depleted. The torque converter experiences tremors at certain speeds.	Transmission Problems
The camshaft timing is retarded due to a stretched timing chain. The engine lacks power at high RPM and has difficulty maintaining highway speeds on inclines.	Ignition System Malfunctions
The engine is not functioning and the check engine light indicates a problem with the camshaft position sensor, leading to incorrect ignition and fuel timing.	Ignition System Malfunctions
A fuel gussling that is barely noticeable under the engine bay. The fuel line in the car has a small and fragile crack, which could be an ignition fault or leakage.	Fuel System Problems
The transmission fluid is milky and pink. The internal radiator cooler has ruptured, allowing coolant to mix with the transmission fluid.	Transmission Problems
The brake pedal slowly sinks to the floor when held at a stoplight. The master cylinder has an internal leak, allowing fluid to bypass the seals.	Brake System Defects
The ABS and traction control lights are on. A diagnostic scan shows a fault in the right front wheel speed sensor.	Brake System Defects
The brake pedal is too squeezable and requires a lot of force to stop the vehicle. The vacuum hose that connects to the brake booster is cracked and leaking.	Brake System Defects
When braking, the car emits a loud squealing sound. The brake pads are worn down and the rotors have become heat-colored.	Brake System Defects
There is a leakage of coolant from the engine block's side. A steel freeze plug has rusted and is now filled with weeping fluid.	Cooling System Anomalies
Several radiator fins are blocked with debris and many have been bent or damaged. The coolant recovery tank is cracked and leaking when the system is subjected to pressure.	Cooling System Anomalies
A persistent engine misfire was traced to a melted spark plug wire that was resting against the hot exhaust manifold.	Ignition System Malfunctions
The engine runs rough and the check engine light indicates a fault with the camshaft position sensor, causing incorrect ignition and fuel timing.	Ignition System Malfunctions
The engine temperature is consistently above the normal temperature and the coolant mixes with oil, resulting in a milky texture on the dipstick. The smoke emanating from the exhaust is white as well.	Cooling System Anomalies
The engine ceases at startup and then turns smoothly after a few minutes. The spark plugs are worn out, and the electrodes have been sharpened to bare metal.	Ignition System Malfunctions
A camshaft timing chain that is stretched causes delayed timing. The engine experiences a loss of power at high RPM and struggles to maintain highway speeds on inclines.	Ignition System Malfunctions
The reservoir is always showing a light that indicates 'low coolant', even when it is too low. The sensor in the reservoir was not functioning properly to measure coolants levels.	Cooling System Anomalies
At low speeds, the brakes are unable to make precise stops as they suddenly grab the throttle. The brake booster diaphragm is damaged and requires unplanned vacuum assistance.	Brake System Defects
The vehicle is difficult to start in the morning and has a slow running motion. Moisture can enter through the hairline crack of the distributor cap.	Ignition System Malfunctions
The float bowl gasket is cracked and hardened due to age and heat cycling.	Fuel System Problems
As the engine cools down, the upper radiator hose collapses. The radiator cap is not venting properly, creating a vacuum in the system.	Cooling System Anomalies
The manual transmission grinds when shifting into third gear. The synchronizer rings are worn and the shift fork is bent from previous hard shifting.	Transmission Problems
The engine cranks but doesn't start, especially in wet conditions. The distributor appears damp inside and spark plug wires show high resistance when tested.	Ignition System Malfunctions
There is a visible puddle of fuel under the engine bay. A rubber fuel line has become brittle and cracked, causing a dangerous leak.	Fuel System Problems
The coolant mixes with oil, creating a milky substance visible on the dipstick. The exhaust emits white smoke and the engine temperature is consistently higher than normal.	Cooling System Anomalies
The engine overheats, but the radiator remains cool. The thermostat is not working and the coolant cannot be moved.	Cooling System Anomalies
The brake hose has collapsed internally, trapping pressure and keeping the brake applied, while one of the wheels is emitting a strong burning smell after being driven.	Brake System Defects
After the engine is turned off, coolant from the overflow tank leaks out. The head gasket is allowing combustion gases to enter the cooling system, leading to excessive pressure.	Cooling System Anomalies
The engine struggles to start and runs rough, with a strong smell of gasoline. The fuel pressure is excessively high due to a faulty fuel pressure regulator.	Fuel System Problems
The doors are not functioning despite the remote key fob's inability to lock or unlock them. The receiver module in the car is experiencing signal failure.	Electrical/Electronic Failures
The automatic transmission shifts gears at the wrong speeds and sometimes doesn't shift at all. There's a burning smell after driving and the transmission warning light is on.	Transmission Problems
The engine cranks but will not start. There is no spark coming from the ignition coil, which has failed internally.	Ignition System Malfunctions
The engine ceases to function when driving over bumps, and the main ground wire connecting the engine and chassis is jacked.	Electrical/Electronic Failures
The dashboard gauges are not functioning, and the warning lights are all on. The instrument cluster has lost contact with the computer that is linked to the vehicle's instrument panel.	Electrical/Electronic Failures
ABS and traction control lights are activated. A diagnostic scan indicates an issue with the right front wheel speed sensor.	Brake System Defects
Poor acceleration and a dirty mass airflow sensor are causing the engine to fail in reading data.	Fuel System Problems
The car trembles with fear when moving from 1st to 2nd gear. The transmission control module is malfunctioning, resulting in unpredictable shift instructions.	Transmission Problems
During driving, the rear wheels produce a loud metallic scraping sound. The rear brake pads are worn down and interlock with the metal backing plates.	Brake System Defects
The transmission strays in between second and third gears, particularly when the acceleration is very high. The solenoid function issues are evident in the transmission control module.	Transmission Problems
Brake discs overheat after moderate use and there's a burning smell after stopping. The brake calipers don't release fully and remain partially engaged.	Brake System Defects
When braking, the car pulls sharply to the left. The right front brake caliper's slide pins are seized, preventing it from applying pressure.	Brake System Defects
Coolant is found leaking from the side of the engine block. A steel freeze plug has rusted through and is weeping fluid.	Cooling System Anomalies
The car makes a high-pitched squealing noise when braking. The brake pads are worn down to the metal and the rotors show heat discoloration.	Brake System Defects
On cylinder 3, the engine repeatedly fails, the spark plug gets filled with oil, and the ignition coil shows signs of heat stress.	Ignition System Malfunctions
The automatic transmission experiences difficulty in shifting gears and may not shift at all. After driving, there is a burning smell and the transmission light is on.	Transmission Problems
It seems the spark plug wires are arcing at night and there's a misfire that moves between different cylinders. The distributor rotor wears significantly.	Ignition System Malfunctions
The dashboard displays several warning lights, such as engine and battery warning light. The main computer module is water damaged and the connectors are corroded.	Electrical/Electronic Failures
