phrase	category
The engine cranks but will not start. There is no spark coming from the ignition coil, which has failed internally.	Ignition System Malfunctions
Coolant is found leaking from the side of the engine block. A steel freeze plug has rusted through and is weeping fluid.	Cooling System Anomalies
Coolant is mixing with the engine oil causing emulsion. The intake manifold gasket is deteriorated and allowing coolant to seep into the cylinders.	Cooling System Anomalies
Fuel leaks from the bottom of the carburetor and creates a fire hazard. The float bowl gasket is hardened and cracked from age and heat cycling.	Fuel System Problems
The application of the brakes produces a grinding noise and sensitivity to the pedal. The brake pads are worn out, and the caliper piston is broken.	Brake System Defects
The battery won't hold charge for more than a few days. Even when the vehicle is not in use, the system experiences constant wear and tear, and the alternator belt becomes loose.	Electrical/Electronic Failures
When the engine is not running, the carburetor drips fuel. The float needle valve is damaged and does not sit properly to prevent fuel from discharging.	Fuel System Problems
There is a visible puddle of fuel under the engine bay. A rubber fuel line has become brittle and cracked, causing a dangerous leak.	Fuel System Problems
The car's left-hand braking action is abrupt, and it pulls away from the right front brake caliper slide pins. This prevents it from applying pressure while pulling backward.	Brake System Defects
The engine turns off while driving over bumps. A main ground wire from the engine to the chassis is loose.	Electrical/Electronic Failures
Delay, loud clunk, low transmission fluid, burn smell as I try to shift from Park to Drive.	Transmission Problems
The ABS and traction control lights are on. A diagnostic scan shows a fault in the right front wheel speed sensor.	Brake System Defects
The parking brake fails to hold the vehicle on modest inclines. The cables are stretched and the rear brake shoe adjusters are seized from corrosion.	Brake System Defects
The engine temperature gauge climbs into the red zone while idling in traffic. The electric radiator fan relay has failed and the fan is not turning on.	Cooling System Anomalies
There are white, crusty deposits around the thermostat housing. The gasket has failed and is causing a slow coolant leak.	Cooling System Anomalies
The fuel gauge remains at full capacity, regardless of the actual fuel level. The sending unit float arm is damaged within the fuel tank.	Fuel System Problems
When shifting into third gear, the manual transmission will grind. The synchronizer rings are worn out and the shift fork is bent due to previous hard shifting.	Transmission Problems
The radiator fins are blocked with debris and many are bent or damaged. The coolant recovery tank is cracked and leaking when the system is under pressure.	Cooling System Anomalies
The engine experiences a sudden power reduction and backfires while accelerating. The ignition timing is severely delayed, according to the findings.	Ignition System Malfunctions
The car's horn and radio activate automatically. Water damage has affected the BCM, which is not functioning properly.	Electrical/Electronic Failures
The vehicle loses power when the air conditioning is turned on. The fuel pump cycles on and off audibly and the engine hesitates when under load.	Fuel System Problems
The engine's performance is poor and the check engine light indicates a problem with the camshaft position sensor, leading to incorrect ignition and fuel timing.	Ignition System Malfunctions
The power windows will go down but not up. The master window switch on the driver's door has failed.	Electrical/Electronic Failures
The fuel level sensor provides inaccurate readings. The gauge shows empty when the tank is a quarter full and the warning light remains on continuously.	Fuel System Problems
The transmission strays in between second and third gears, particularly when the acceleration is very high. The solenoid function issues are evident in the transmission control module.	Transmission Problems
The engine experiences stuttering and hesitation, particularly in wet conditions. The ignition control module malfunctions when it attains high temperatures.	Ignition System Malfunctions
