phrase	category
Red fluid is leaking out of the transmission's front pump seal. The vehicle is situated beneath the front bumper.	Transmission Problems
When driving on uneven ground, the engine shuts down. There is a loose connection between an external main ground wire and the chassis.	Electrical/Electronic Failures
The engine block's side has a leakage of coolant. A steel freeze plug has been rusted and is now filled with weeping fluid.	Cooling System Anomalies
A whine is heard in the back of the car, and the engine ceases to operate on hills. The fuel pump is experiencing a shortage of pressure.	Fuel System Problems
The car is lanky and has slow acceleration. The sensor measuring mass airflow is spotty and sending incorrect signals to the engine computer.	Fuel System Problems
Despite cranking, the engine remains inactive and the ignition coil has malfunctioned internally.	Ignition System Malfunctions
There is a noticeable drop of fuel under the engine bay. A rubber fuel line that has been cracked and brittle is now causing scalability by forming leaking.	Fuel System Problems
In wet conditions, the engine stumbles and hesitates. The ignition control module malfunctions when it reaches high temperatures.	Ignition System Malfunctions
The car emits a sweet, syrupy scent after being driven. A small pinhole leak in the radiator is responsible for spraying coolant onto the engine that has just started to boil over.	Cooling System Anomalies
The car's left-hand braking action is abrupt, and it pulls away from the right front brake caliper slide pins. This prevents it from applying pressure while pulling backward.	Brake System Defects
The front axle's CV joints are worn and produce a loud clicking or grinding sound when sharp turns are made.	Transmission Problems
The upper radiator hose collapses when the engine cools down, and the radiator cap is not venting properly, creating a vacuum in the system.	Cooling System Anomalies
Despite the engine being at full operating temperature, the cabin heater still blows cold air. The heater core is filled with sediment.	Cooling System Anomalies
Misfires occur in the engine while running under load. The fuel rail pressure sensor is not functioning properly, resulting in irregular fuel delivery to the injectors.	Fuel System Problems
The vehicle's brake pedal is too firm and requires a lot of force to stop. The vacuum hose that connects to the brake booster is cracked and leaking.	Brake System Defects
The engine bay displays a noticeable gashy accumulation. A rubber fuel line that has been worn and damaged, resulting in causing scalability for the next few miles.	Fuel System Problems
When shifting from 1st gear to 2nd gear, the car trembles heavily. The transmission control module is malfunctioning, resulting in unpredictable shift instructions.	Transmission Problems
The engine still runs hot even though the water pump has been replaced. The new pump's plastic impeller has broken off, but the shaft is still in good condition.	Cooling System Anomalies
During braking, the car pulls backwards to the left. The slide pins on the right front brake caliper are not in place and are held down.	Brake System Defects
During overtaking, the engine shuts down. A main ground wire connecting the chassis and this motor is not in place.	Electrical/Electronic Failures
Even when the engine is running at maximum operating temperature, cold air can be forced out of the cabin heater. The heater core is obstructed by sediments.	Cooling System Anomalies
Despite being replaced, the taillights remain infected and there is a short circuit in the trailer wiring harness.	Electrical/Electronic Failures
Milky and pink transmission fluid. Breaking the internal radiator cooler allows the coolant to mix with the transmission liquid.	Transmission Problems
The engine's speed causes a whining sound that alters the pitch, and gear engagement is harsh. A blocked transmission fluid filter is present.	Transmission Problems
The power windows will shut down while the master window switch on the driver's door is not working.	Electrical/Electronic Failures
It seems the battery is dead every morning. They traced a parasitic draw to the glove box still lights up when it's closed'.	Electrical/Electronic Failures
It's hard to start the car in the morning and it has a slow drive. The distributor cap has developed duct tape with pliers, which allow moisture to seep through.	Ignition System Malfunctions
When braking, the car pulls leftward with force. The right front brake caliper's slide pins are attached, making it impossible to apply pressure on any part of the vehicle.	Brake System Defects
The manual transmission is a difficult mechanism to shift into any gear. The clutch is not fully disengaging when the pedal is engaged, making it challenging.	Transmission Problems
Coolant leakage from the engine block side is observed. A steel freeze plug has rusted and is now filled with weeping fluid.	Cooling System Anomalies
Despite being in traffic, the engine temperature gauge displays red. The electric radiator fan relay has failed, and the fan is not functioning.	Cooling System Anomalies
After refueling, the car experiences difficulty starting and is illuminated with an EVAP system leakage warning light.	Fuel System Problems
The engine rotates but fails to start. There is no internal failure of the ignition coil, resulting in no spark or oil leakage.	Ignition System Malfunctions
When stopping from highway speeds, there is a noticeable pulsation in the brake pedal. The front brake rotors are warped.	Brake System Defects
The engine ceases to function properly under load. The fuel rail pressure sensor is malfunctioning, leading to unpredictable fuel delivery to the injectors.	Fuel System Problems
Although the engine is operational, it will not shift gears. The vehicle's torque converter has malfunctioned internally.	Transmission Problems
The heater core in the cabin is obstructed by sediment, and cold air cannot be forced through the heater even when the engine is at full operating temperature.	Cooling System Anomalies
The engine is knocking while under load. The knock sensor is not causing any delay in ignition timing, which could result in detonation.	Ignition System Malfunctions
A faulty idler and intermittent stalling are common problems experienced by the engine. One of the fuel injectors is stuck open, leading to excessive fuel inundation in a cylinder.	Fuel System Problems
Due to a bad camshaft position sensor and the engine running rough, there is an error in ignition and fuel timing with the check engine light.	Ignition System Malfunctions
Even in a secure garage, the vehicle's alarm goes off unexpectedly due to faulty sensors on top of the hood.	Electrical/Electronic Failures
A gush-drenched fuel line has been detected under the engine bay. The fuel lines have become so fragile that they seem to be dangerously exposed, with a cracked and brittle rubber fuel connection.	Fuel System Problems
