phrase	category
The brake lights remain on even when the pedal is not being used. The plastic stopper for the brake light switch has malfunctioned.	Brake System Defects
The ABS and traction control lights are activated. A diagnostic scan indicates an issue with the right front wheel speed sensor.	Brake System Defects
Both the horn and radio in the car respond to the on/off switch. Water damage has affected the BCM, which is not functioning properly.	Electrical/Electronic Failures
The engine experiences stuttering and hesitation, particularly in wet conditions. The ignition control module malfunctions when it attains high temperatures.	Ignition System Malfunctions
The engine struggles to start and runs rough, with a strong smell of gasoline. The fuel pressure is excessively high due to a faulty fuel pressure regulator.	Fuel System Problems
The engine starts to malfunction after a tune-up because the distributor cap's spark plug wires were not aligned with the correct timing.	Ignition System Malfunctions
The ABS and traction control lights are on. A diagnostic scan shows a fault in the right front wheel speed sensor.	Brake System Defects
The milky and pink transmission fluid indicates that the internal radiator cooler has been ruptured, allowing coolant to mix with the transmission liquid.	Transmission Problems
The rear wheels produce a high-pitched metallic scraping sound while driving, and the rear brake pads wear down to the metal backing plates.	Brake System Defects
The engine rotates but fails to start. The absence of a spark from the ignition coil is due to internal failure.	Ignition System Malfunctions
The engine can be turned over by clicking the starter, but it does not. The terminal of the main battery cable is severely corroded, leading to a poor connection.	Electrical/Electronic Failures
While driving in traffic, the engine temperature gauge goes into the red zone. The electric radiator fan relay has failed, causing the fan to fail.	Cooling System Anomalies
The manual transmission can be challenging to shift into any gear. The clutch is not fully disengaging when the pedal is pressed.	Transmission Problems
The back of the car produces a whining noise, and the engine ceases to move inclines. The fuel pump is experiencing difficulties in maintaining pressure.	Fuel System Problems
The transmission's front pump seal is leaking and there is some red fluid on the ground beneath the front of the vehicle.	Transmission Problems
The trailer wiring harness is short circuited, causing the fuse to continue blowing even after taillight replacement.	Electrical/Electronic Failures
The engine's misfiring on cylinder 3 is unredued due to oil getting mixed with fuel and the ignition coil experiencing heat stress.	Ignition System Malfunctions
It's a real pain to shift the manual transmission into any gear. The clutch isn't fully disengaging when the pedal is pushed down.	Transmission Problems
No matter how much water is in the reservoir, it remains on despite light turning off and the coolant level sensor failing.	Cooling System Anomalies
The engine's performance is poor and the check engine light indicates a problem with the camshaft position sensor, leading to incorrect ignition and fuel timing.	Ignition System Malfunctions
The starter clicks once but does not turn the engine over. The main battery cable has severe corrosion at the terminal, causing a poor connection.	Electrical/Electronic Failures
The engine has a subtle but consistent miss at idle. The gap on several spark plugs is worn and far too wide for a consistent spark.	Ignition System Malfunctions
While accelerating, the engine suddenly loses power and backfires. The ignition timing was found to be severely retarded.	Ignition System Malfunctions
After driving, a strong burning smell comes from one of the wheels. The brake hose for that wheel has collapsed internally, trapping pressure and keeping the brake applied.	Brake System Defects
The car's grip on the parking brake handle is unyielding, and it does not hold. The cable that connects the garage to the rear parking braking system has also broken.	Brake System Defects
One of the wheels emits a strong burning scent after being driven, and the internal collapse of its brake hose keeps the pressure from remaining in place.	Brake System Defects
The back of a rear wheel is visible as leaking brake fluid. The drum brake's wheel cylinder is also exhibiting signs of leakage.	Brake System Defects
A whining noise is heard that changes pitch with engine speed, and gear engagement is harsh. The transmission fluid filter is clogged.	Transmission Problems
The engine ceases to function when driving over bumps, and the main ground wire connecting the engine and chassis is jacked.	Electrical/Electronic Failures
The engine cranks but will not start. There is no spark coming from the ignition coil, which has failed internally.	Ignition System Malfunctions
The car pulls a bit left when braking, and the slide pins on the right front brake caliper are seized so that it cannot apply pressure.	Brake System Defects
The car's horn and radio activate automatically. Water damage has affected the BCM, which is not functioning properly.	Electrical/Electronic Failures
The brake pedal slowly sinks to the floor when held at a stoplight. The master cylinder has an internal leak, allowing fluid to bypass the seals.	Brake System Defects
A high-pitched metallic scraping sound is heard from the rear wheels when driving. The rear brake pads are worn down to the metal backing plates.	Brake System Defects
ABS and traction control lights are activated. A diagnostic scan indicates an issue with the right front wheel speed sensor.	Brake System Defects
None of the dashboard gauges are working, and all warning lights are on. The instrument cluster has lost communication with the vehicle's computer.	Electrical/Electronic Failures
The engine light is on and the transmission is stuck in 3rd gear (limp mode). A faulty transmission pressure control solenoid has resulted in failure.	Transmission Problems
When driving, the rear wheels produce a loud metallic scraping noise. The rear brake pads are worn down and interlock with the metal backing plates.	Brake System Defects
Sharp turns cause a clicking or grinding sound, while worn-out CV joints are present on the front axle.	Transmission Problems
Shifting from Park to Drive causes a delay and loud sound, while transmission fluid levels are low and smells like burnt.	Transmission Problems
Despite the reservoir being full, there is always an indicator light that indicates a shortage of coolant. The sensor in the tank is not functioning correctly.	Cooling System Anomalies
When braking, the car pulls sharply to the left. The right front brake caliper's slide pins are seized, preventing it from applying pressure.	Brake System Defects
The engine idles poorly and stalls intermittently. One of the fuel injectors is stuck open, flooding a cylinder with fuel.	Fuel System Problems
Red fluid is peeping on the ground beneath the front of the vehicle. The transmission's front pump seal is leaking inside.	Transmission Problems
Despite cranking, the engine remains inactive and the ignition coil has malfunctioned internally, leaving no indication of ignition.	Ignition System Malfunctions
It is very hard to shift the manual transmission into any gear. The clutch is not fully disengaging when the pedal is pressed.	Transmission Problems
The engine encounters a subtle but consistent miss while idling. The gap between different spark plugs is worn and too wide for dependable ignition.	Ignition System Malfunctions
The cabin heater blows cold air even when the engine is at full operating temperature. The heater core is clogged with sediment.	Cooling System Anomalies
Despite the engine overheating and coolness of the radiator, the thermostat is not working and hinders the coolant flow.	Cooling System Anomalies
The engine experiences frequent misfires on cylinder 3, with the spark plug being saturated with oil and the ignition coil exhibiting heat-related symptoms.	Ignition System Malfunctions
The engine temperature experiences significant fluctuations while driving. After a coolant change, there is an enormous air pocket in the cooling system.	Cooling System Anomalies
The vehicle is difficult to start in the morning and has a slow running motion. Moisture can enter through the hairline crack of the distributor cap.	Ignition System Malfunctions
The 'check engine' light is on and the transmission is stuck in 3rd gear (limp mode). A failed transmission pressure control solenoid.	Transmission Problems
The vehicle's alarm goes off unexpectedly, even when the garage is secured. The sensor for the hood latch is defective.	Electrical/Electronic Failures
Coolant leakage from the engine block side is observed. A steel freeze plug has rusted and is now containing weeping fluid.	Cooling System Anomalies
A melted spark plug wire was found to be the cause of a persistent engine misfire, which was caused by it being placed against the hot exhaust manifold.	Ignition System Malfunctions
The upper radiator hose collapses when the engine cools down. The radiator cap is not venting properly, creating a vacuum in the system.	Cooling System Anomalies
The brake pedal is extremely hard and requires a lot of force to stop the vehicle. The vacuum hose that connects to the brake booster is cracked and leaking.	Brake System Defects
The engine overheats, but the radiator is cool to the touch. The thermostat is stuck in the closed position, preventing coolant circulation.	Cooling System Anomalies
The transmission is stuck in 3rd gear (limp mode) and the 'check engine' light is on. A failed transmission pressure control solenoid has also occurred.	Transmission Problems
The power windows will go down but not up. The master window switch on the driver's door has failed.	Electrical/Electronic Failures
The engine shuts down when driving over bumps due to a loose main ground wire connecting the engine and the chassis.	Electrical/Electronic Failures
A gush-drenched fuel line has been detected under the engine bay. The fuel lines have become so fragile that they seem to be leaking from a cracked rubber fuel pipe, which is quite dangerous.	Fuel System Problems
A slow coolant leak is causing white, hard crusty deposits to form around the thermostat housing. The gasket has failed.	Cooling System Anomalies
The vehicle shudders violently when shifting from 1st to 2nd gear. The transmission control module has failed, causing erratic shift commands.	Transmission Problems
The engine's inability to start and its gasoline scent are unattractive. The fuel pressure is excessively high, possibly due to a defective fuel pump.	Fuel System Problems
After a tune-up, the engine runs worse than before. The spark plug wires were installed in the wrong order on the distributor cap.	Ignition System Malfunctions
The engine temperature gauge climbs into the red zone while idling in traffic. The electric radiator fan relay has failed and the fan is not turning on.	Cooling System Anomalies
While idling in traffic, the engine temperature gauge goes into the red zone. The electric radiator fan relay has failed, and the fan is not functioning.	Cooling System Anomalies
The 'check engine' light is on and the transmission is stuck in 3rd gear (limp mode). A transmission pressure control solenoid has failed.	Transmission Problems
Engine knocks under load. Knock sensor is not causing any delay in ignition timing to prevent detonation.	Ignition System Malfunctions
The remote key fob will not lock or unlock the doors. The receiver module in the car is not picking up the signal.	Electrical/Electronic Failures
After refueling, the car experiences difficulty starting and is illuminated with an EVAP system leakage warning light.	Fuel System Problems
Both the ABS and traction control lights are activated. A diagnostic scan indicates an issue with the speed sensor on the right front wheel.	Brake System Defects
The thermostat housing has developed white, hard deposits. The gasket is no longer in place and is causing a slow coolant leak.	Cooling System Anomalies
The heater core in the cabin is obstructed by sediment, and cold air cannot be blown even at the maximum operating temperature of the engine.	Cooling System Anomalies
The transmission fluid filter is clogged, and there's a whining noise that varies with engine speed and gear engagement.	Transmission Problems
When stopping from highway speeds, there is a noticeable pulsation in the brake pedal. The front brake rotors are warped.	Brake System Defects
The front axle's CV joints are worn and produce a loud clicking or grinding sound when sharp turns are made.	Transmission Problems
After driving, there is a potent burning smell coming from one of the wheels. The internal collapsed brake hose keeps the pressure in place.	Brake System Defects
The car is lanky and has slow acceleration. The sensor measuring mass airflow is spotty and sending incorrect signals to the engine computer.	Fuel System Problems
A sweet syrupy scent is smelt all around the car after it has been driven. The radiator has a small pinhole leak, which is spraying coolant onto the hot engine.	Cooling System Anomalies
The engine rotates, but it is not starting. The absence of a spark from the ignition coil means that it has failed internally.	Ignition System Malfunctions
The door locks and unlock are not being actuated by the remote key fob. Additionally, the car's receiver module is failing to pick up the signal.	Electrical/Electronic Failures
The car trembles with fear when moving from 1st to 2nd gear. The transmission control module is malfunctioning, resulting in unpredictable shift instructions.	Transmission Problems
When sharp turns are made, a clicking or grinding sound is heard. The front CV joints on the vehicle's front axle are worn out.	Transmission Problems
There is a noticeable pulsation in the brake pedal when stopping from highway speeds. The front brake rotors are warped.	Brake System Defects
The brake pedal will naturally come to rest when stopped at a stoplight. An internal leak in the master cylinder allows fluid to bypass the seals.	Brake System Defects
Regardless of the actual fuel level, the fuel gauge remains at full capacity. The sending unit float arm is damaged within the petrol tank.	Fuel System Problems
Red fluid is puddling on the ground under the front of the vehicle. The transmission's front pump seal is leaking.	Transmission Problems
Misfires occur in the engine while running under load. The fuel rail pressure sensor is not functioning properly, resulting in irregular fuel delivery to the injectors.	Fuel System Problems
The battery is always charging in the morning. A parasitic draw was discovered due to the glove box light remaining on when closed.	Electrical/Electronic Failures
At a steady speed, the engine RPM rises unexpectedly without any acceleration, suggesting that the transmission may be out of gear.	Transmission Problems
The engine is knocking while under load. The knock sensor is not causing any delay in ignition timing, which could result in detonation.	Ignition System Malfunctions
All the dashboard gauges are inoperable, and warning lights are all on. The instrument cluster has become disconnected from the computer that controls the vehicle's instrument panel.	Electrical/Electronic Failures
The engine's idle quality is poor, causing it to stall occasionally. One of the fuel injectors becomes unresponsive, leading to excessive fuel infiltration into a cylinder.	Fuel System Problems
Engine misfires under load. Unusual fuel delivery to the injectors. Faulty pressure sensor in fuel rail.	Fuel System Problems
The car emits a sweet syrupy scent after being driven. A small pinhole leak in the radiator results in coolant spraying onto the engine, which is now hotter than ever.	Cooling System Anomalies
The vehicle's alarm is triggered at random, even when the garage is secure. The sensor for the hood latch is not functioning properly.	Electrical/Electronic Failures
The fuel gauge remains at full capacity, regardless of the actual fuel level. The sending unit float arm is damaged within the fuel tank.	Fuel System Problems
Poor acceleration and a dirty mass airflow sensor are causing the engine to fail in reading data.	Fuel System Problems
The car's headlights become flickering and dim when the vehicle is idling. The alternator is malfunctioning, resulting in a low voltage output.	Electrical/Electronic Failures
The engine misfires under load. The fuel rail pressure sensor is faulty, causing erratic fuel delivery to the injectors.	Fuel System Problems
The car shivers with force when shifting between 1st and 2nd gear. The transmission control module is malfunctioning, resulting in unpredictable shift instructions.	Transmission Problems
The vehicle experiences a sharp shiver in the rear end when shifting from 1st gear to 2nd gear. The transmission control module is malfunctioning, leading to unpredictable shift instructions.	Transmission Problems
The engine overheats, but the radiator remains cool. The thermostat is not working and the coolant cannot be moved.	Cooling System Anomalies
The brake hose has collapsed internally, trapping pressure and keeping the brake applied, while one of the wheels is emitting a strong burning smell after being driven.	Brake System Defects
There is a bad engine, and it won't start up. It smells like gasoline very potent. The fuel pressure regulator is defective.	Fuel System Problems
The headlights appear to flicker and dim when the car is in motion. The alternator is malfunctioning and not functioning properly.	Electrical/Electronic Failures
Despite being in a secure garage, the vehicle's alarm goes off unexpectedly. The sensor for the hood latch is not functioning properly.	Electrical/Electronic Failures
The doors won't lock or unlock when using a remote key fob. The car's receiver module is not responding.	Electrical/Electronic Failures
